0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:35:55 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:35:59 +0100] "DELETE /tp_revision/exercice/revision/persons/7 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:35:59 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:36:01 +0100] "GET /tp_revision/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:36:01 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:36:02 +0100] "GET /tp_revision/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:36:02 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:36:07 +0100] "GET /tp_revision/exercice/revision/persons/search?nom=ali%20hammami HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:36:14 +0100] "GET /tp_revision/exercice/revision/persons/search?nom=mohaned HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:36:20 +0100] "GET /tp_revision/exercice/revision/persons/6 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:36:23 +0100] "GET /tp_revision/assets/js/api.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:36:23 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:36:24 +0100] "GET /tp_revision/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:36:24 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 79
